(1,1)(2,1)(3,1)(2,1)(3,1)(2,1)(3,1)(5,1)(3,1)(2,1)(3,1)(5,1)(3,1)(2,1)(4,1)(6,1)(9,8)
(1,3)(2,2)(3,2)(4,2)(3,2)(4,2)(3,2)(4,2)(3,2)(4,2)(3,2)(4,2)(3,2)(4,2)(5,2)(4,1)(6,1)
(1,2)(2,3)(7,1)(7,2)(8,2)(9,3)(10,1)(9,1)(8,1)(9,2)(10,3)(8,2)(7,2)(8,1)(9,2)(5,3)(6,2)
(1,4)(2,3)(7,3)(10,2)(7,2)(9,2)(8,3)(8,1)(7,1)(7,3)(8,2)(9,2)(8,3)(10,2)(10,1)(5,3)(6,4)
(1,4)(2,3)(10,2)(7,2)(7,3)(8,1)(8,2)(8,3)(9,2)(9,1)(9,3)(10,1)(10,2)(10,3)(7,1)(5,3)(6,3)
(1,1)(2,3)(8,1)(8,3)(8,2)(9,2)(8,1)(7,2)(8,3)(10,2)(8,1)(9,3)(7,3)(7,1)(9,2)(5,3)(6,4)
(1,2)(2,3)(7,2)(10,3)(7,3)(8,2)(7,2)(10,2)(8,3)(9,3)(7,1)(8,1)(8,3)(9,1)(9,1)(5,3)(6,3)
(1,3)(2,3)(8,2)(8,3)(10,1)(10,3)(8,1)(7,1)(7,2)(7,1)(7,3)(8,1)(9,2)(9,3)(10,2)(5,3)(6,4)
(1,1)(2,3)(9,2)(9,1)(10,2)(10,3)(7,2)(7,3)(8,1)(7,1)(9,2)(7,3)(8,1)(10,2)(8,2)(5,3)(6,3)
(1,4)(2,3)(9,1)(8,2)(7,3)(10,1)(8,3)(7,1)(8,2)(7,2)(10,3)(10,2)(10,3)(10,1)(7,2)(5,3)(6,4)
(1,3)(2,3)(8,2)(7,3)(8,2)(8,1)(9,2)(10,3)(8,2)(9,2)(7,2)(10,3)(8,1)(7,1)(7,3)(5,3)(6,3)
(1,1)(2,3)(7,2)(9,1)(9,2)(10,2)(9,3)(10,3)(7,1)(7,3)(8,2)(8,1)(7,2)(9,3)(10,3)(5,3)(6,4)
(1,2)(2,4)(10,2)(9,2)(7,1)(7,2)(8,2)(9,2)(7,1)(8,3)(10,2)(7,2)(8,3)(9,1)(10,2)(5,3)(6,3)
(1,5)(6,6)(2,4)(3,4)(4,4)(3,4)(4,4)(3,4)(4,4)(3,4)(4,4)(3,4)(4,4)(3,4)(4,4)(5,4)(6,4)
(9,8)(1,5)(3,5)(2,5)(3,5)(2,5)(3,5)(2,5)(3,5)(2,5)(3,5)(2,5)(3,5)(2,5)(3,5)(2,5)(6,5)
